time,M1
22.291,513
22.291,514
22.291,513
22.291,512
22.291,515
22.291,513
22.291,513
22.291,512
22.291,515
22.291,513
22.291,512
22.291,512
22.291,512
22.291,514
22.291,514
22.291,513
22.291,514
22.291,513
22.291,512
22.291,512
22.291,513
22.291,513
22.291,513
22.291,512
22.291,514
22.291,511
22.291,512
22.291,513
22.291,512
22.291,513
22.291,513
22.291,512
22.291,513
22.291,512
22.291,512
22.291,514
22.291,512
22.291,513
22.291,513
22.291,513
22.291,513
22.291,512
22.291,512
22.291,513
22.291,512
22.291,513
22.291,513
22.291,514
22.338,513
22.338,514
22.338,514
22.338,514
22.338,513
22.338,513
22.338,514
22.338,513
22.338,513
22.338,513
22.338,511
22.338,512
22.338,512
22.338,514
22.338,513
22.338,512
22.338,512
22.338,512
22.338,511
22.338,511
22.338,511
22.338,511
22.338,512
22.338,513
22.338,512
22.338,513
22.338,513
22.338,514
22.338,512
22.338,512
22.338,513
22.338,512
22.338,512
22.338,513
22.338,513
22.338,512
22.338,511
22.338,511
22.338,512
22.338,512
22.338,512
22.338,512
22.338,512
22.338,510
22.338,510
22.338,510
22.338,509
22.338,510
22.338,510
22.338,510
22.338,511
22.338,512
22.338,513
22.338,514
22.338,514
22.338,512
22.338,513
22.338,512
22.338,514
22.338,513
22.338,513
22.338,514
22.338,512
22.385,512
22.385,512
22.385,513
22.385,513
22.385,513
22.385,513
22.385,512
22.385,513
22.385,512
22.385,512
22.385,513
22.385,512
22.385,514
22.385,515
22.385,516
22.385,516
22.385,515
22.385,514
22.385,513
22.385,512
22.385,512
22.385,512
22.385,514
22.385,513
22.385,512
22.385,512
22.385,511
22.385,512
22.385,511
22.385,512
22.385,513
22.385,512
22.385,512
22.385,512
22.385,511
22.385,511
22.385,512
22.385,512
22.385,513
22.385,512
22.385,513
22.385,515
22.385,514
22.385,513
22.385,514
22.385,514
22.385,513
22.385,513
22.385,514
22.385,513
22.385,513
22.385,513
22.385,513
22.385,511
22.385,511
22.385,512
22.385,511
22.385,511
22.385,512
22.385,511
22.385,512
22.385,511
22.385,513
22.43,512
22.43,513
22.43,512
22.43,514
22.43,515
22.43,514
22.43,513
22.43,514
22.43,514
22.43,513
22.43,512
22.43,512
22.43,511
22.43,512
22.43,511
22.43,511
22.43,512
22.43,511
22.43,512
22.43,513
22.43,513
22.43,513
22.43,512
22.43,513
22.43,512
22.43,514
22.43,512
22.43,513
22.43,514
22.43,513
22.43,513
22.43,513
22.43,514
22.43,514
22.43,513
22.43,512
22.43,511
22.43,512
22.43,511
22.43,511
22.43,510
22.43,512
22.43,512
22.43,513
22.43,513
22.43,513
22.43,513
22.43,514
22.43,512
22.43,513
22.43,513
22.43,511
22.43,512
22.43,513
22.43,513
22.43,512
22.43,512
22.43,513
22.43,514
22.43,513
22.43,513
22.479,512
22.479,512
22.479,513
22.479,513
22.479,513
22.479,514
22.479,513
22.479,512
22.479,512
22.479,513
22.479,513
22.479,513
22.479,514
22.479,513
22.479,513
22.479,513
22.479,512
22.479,512
22.479,512
22.479,511
22.479,513
22.479,513
22.479,512
22.479,511
22.479,510
22.479,511
22.479,511
22.479,511
22.479,511
22.479,512
22.479,511
22.479,512
22.479,512
22.479,512
22.479,512
22.479,513
22.479,512
22.479,514
22.479,512
22.479,512
22.479,514
22.479,514
22.479,513
22.479,512
22.479,512
22.479,511
22.479,513
22.479,512
22.479,513
22.479,513
22.479,513
22.479,513
22.479,512
22.479,511
22.479,512
22.479,514
22.479,514
22.479,512
22.479,511
22.479,512
22.479,512
22.479,514
22.479,512
22.479,512
22.479,512
22.525,513
22.525,513
22.525,513
22.525,512
22.525,512
22.525,512
22.525,512
22.525,511
22.525,513
22.525,513
22.525,514
22.525,514
22.525,513
22.525,513
22.525,512
22.525,512
22.525,513
22.525,514
22.525,513
22.525,512
22.525,513
22.525,511
22.525,512
22.525,512
22.525,513
22.525,513
22.525,512
22.525,513
22.525,513
22.525,512
22.525,512
22.525,513
22.525,512
22.525,511
22.525,512
22.525,513
22.525,512
22.525,513
22.525,514
22.525,513
22.525,513
22.525,513
22.525,513
22.525,513
22.525,514
22.525,512
22.525,512
22.525,512
22.525,511
22.525,513
22.525,513
22.525,513
22.525,514
22.525,513
22.525,512
22.525,513
22.525,514
22.525,514
22.525,513
22.525,514
22.525,511
22.525,512
22.572,513
22.572,515
22.572,514
22.572,514
22.572,513
22.572,512
22.572,513
22.572,512
22.572,513
22.572,513
22.572,513
22.572,512
22.572,513
22.572,513
22.572,514
22.572,513
22.572,512
