time,M1
33.982,512
33.982,513
33.982,512
33.982,513
33.982,514
33.982,515
33.982,514
33.982,515
33.982,514
33.982,514
33.982,513
33.982,512
33.982,510
33.982,512
33.982,512
33.982,511
33.982,511
33.982,511
33.982,511
33.982,512
33.982,512
33.982,513
33.982,512
33.982,513
33.982,513
33.982,515
33.982,515
33.982,515
33.982,513
33.982,513
33.982,513
33.982,511
33.982,511
33.982,511
33.982,510
33.982,512
33.982,511
33.982,512
33.982,511
33.982,511
33.982,512
33.982,512
33.982,513
33.982,513
33.982,516
33.982,517
33.982,516
33.982,515
33.982,512
33.982,514
33.982,514
33.982,514
33.982,516
33.982,515
33.982,514
33.982,513
33.982,512
33.982,510
33.982,510
33.982,511
33.982,511
33.982,511
33.982,513
34.03,512
34.03,510
34.03,511
34.03,511
34.03,512
34.03,513
34.03,514
34.03,512
34.03,512
34.03,513
34.03,514
34.03,514
34.03,515
34.03,513
34.03,512
34.03,511
34.03,512
34.03,511
34.03,512
34.03,510
34.03,510
34.03,510
34.03,511
34.03,512
34.03,513
34.03,514
34.03,515
34.03,513
34.03,514
34.03,514
34.03,515
34.03,514
34.03,514
34.03,512
34.03,511
34.03,511
34.03,512
34.03,512
34.03,512
34.03,511
34.03,510
34.03,513
34.03,512
34.03,514
34.03,514
34.03,514
34.03,514
34.03,513
34.03,514
34.03,514
34.03,512
34.03,514
34.03,512
34.03,512
34.03,513
34.03,511
34.03,512
34.03,510
34.03,510
34.03,512
34.03,512
34.03,515
34.077,514
34.077,514
34.077,514
34.077,512
34.077,513
34.077,513
34.077,515
34.077,515
34.077,514
34.077,513
34.077,513
34.077,512
34.077,514
34.077,515
34.077,513
34.077,512
34.077,511
34.077,512
34.077,511
34.077,512
34.077,514
34.077,511
34.077,511
34.077,512
34.077,512
34.077,513
34.077,513
34.077,515
34.077,513
34.077,514
34.077,514
34.077,514
34.077,514
34.077,515
34.077,514
34.077,513
34.077,512
34.077,511
34.077,511
34.077,511
34.077,511
34.077,509
34.077,511
34.077,511
34.077,510
34.077,512
34.077,512
34.077,513
34.077,513
34.077,514
34.077,512
34.077,514
34.077,513
34.077,516
34.077,514
34.077,514
34.077,512
34.077,513
34.077,511
34.077,510
34.077,510
34.077,511
34.124,510
34.124,510
34.124,510
34.124,510
34.124,511
34.124,510
34.124,512
34.124,512
34.124,512
34.124,513
34.124,513
34.124,516
34.124,515
34.124,514
34.124,513
34.124,513
34.124,513
34.124,512
34.124,512
34.124,512
34.124,513
34.124,512
34.124,513
34.124,515
34.124,512
34.124,513
34.124,513
34.124,513
34.124,513
34.124,514
34.124,514
34.124,513
34.124,515
34.124,515
34.124,514
34.124,513
34.124,513
34.124,512
34.124,512
34.124,513
34.124,512
34.124,512
34.124,511
34.124,511
34.124,511
34.124,512
34.124,513
34.124,512
34.124,513
34.124,514
34.124,513
34.124,515
34.124,514
34.124,513
34.124,515
34.124,514
34.124,514
34.124,512
34.124,511
34.124,511
34.124,511
34.124,510
34.124,510
34.124,511
34.171,511
34.171,511
34.171,511
34.171,513
34.171,511
34.171,511
34.171,513
34.171,514
34.171,513
34.171,513
34.171,513
34.171,513
34.171,515
34.171,513
34.171,513
34.171,513
34.171,513
34.171,511
34.171,512
34.171,511
34.171,513
34.171,512
34.171,512
34.171,512
34.171,513
34.171,512
34.171,513
34.171,513
34.171,516
34.171,514
34.171,515
34.171,515
34.171,514
34.171,513
34.171,513
34.171,514
34.171,512
34.171,513
34.171,514
34.171,512
34.171,513
34.171,511
34.171,511
34.171,512
34.171,511
34.171,513
34.171,513
34.171,512
34.171,513
34.171,512
34.171,513
34.171,514
34.171,514
34.171,514
34.171,515
34.171,515
34.171,515
34.171,514
34.171,512
34.171,514
34.171,513
34.171,512
34.218,511
34.218,512
34.218,511
34.218,512
34.218,511
34.218,511
34.218,512
34.218,513
34.218,513
34.218,514
34.218,515
34.218,514
34.218,514
34.218,514
34.218,514
34.218,514
34.218,514
34.218,512
34.218,512
34.218,510
34.218,511
34.218,512
34.218,511
34.218,511
34.218,512
34.218,513
34.218,514
34.218,514
34.218,512
34.218,514
34.218,513
34.218,514
34.218,513
34.218,513
34.218,513
34.218,513
34.218,513
34.218,513
34.218,512
34.218,511
34.218,511
34.218,510
34.218,509
34.218,508
34.218,509
34.218,509
34.218,508
34.218,510
34.218,512
34.218,513
34.218,514
34.218,515
34.218,516
34.218,516
34.218,515
34.218,516
34.218,515
34.218,515
34.218,515
34.218,514
34.218,513
34.218,511
34.265,512
34.265,511
34.265,512
34.265,511
34.265,512
34.265,513
34.265,513
34.265,511
34.265,512
34.265,511
34.265,512
34.265,514
34.265,514
34.265,514
34.265,515
34.265,513
34.265,515
34.265,514
34.265,513
34.265,513
34.265,512
34.265,512
34.265,511
34.265,511
34.265,511
34.265,511
34.265,511
34.265,512
34.265,512
34.265,512
34.265,514
34.265,512
34.265,513
34.265,512
34.265,514
34.265,514
34.265,513
34.265,514
34.265,514
34.265,514
34.265,513
34.265,512
34.265,511
34.265,511
34.265,511
34.265,511
34.265,510
34.265,509
34.265,511
34.265,511
34.265,511
34.265,512
34.265,513
34.265,512
34.265,513
34.265,513
34.265,516
34.265,515
34.265,515
34.265,515
34.265,514
34.265,513
34.265,513
34.312,512
34.312,511
34.312,510
34.312,511
34.312,511
34.312,512
34.312,514
34.312,513
34.312,513
34.312,514
34.312,513
34.312,514
34.312,515
34.312,514
34.312,513
34.312,515
34.312,514
34.312,514
34.312,513
34.312,512
34.312,511
34.312,511
34.312,511
34.312,511
34.312,511
34.312,511
34.312,510
34.312,512
34.312,512
34.312,513
34.312,513
34.312,514
34.312,514
34.312,515
34.312,514
34.312,514
34.312,515
34.312,513
34.312,512
34.312,512
34.312,512
34.312,512
34.312,512
34.312,509
34.312,512
34.312,512
34.312,511
34.312,512
34.312,512
34.312,512
34.312,512
34.312,511
34.312,511
34.312,512
34.312,512
34.312,513
34.312,514
34.312,515
34.312,515
34.312,515
34.312,514
34.312,515
34.312,512
34.358,511
34.358,513
34.358,512
34.358,512
34.358,511
34.358,513
34.358,512
34.358,513
34.358,513
34.358,513
34.358,513
34.358,513
34.358,513
34.358,514
34.358,513
34.358,512
34.358,513
34.358,512
34.358,511
34.358,511
34.358,510
34.358,512
34.358,513
34.358,513
34.358,513
34.358,512
34.358,512
34.358,512
34.358,512
34.358,513
34.358,514
34.358,515
34.358,513
34.358,513
34.358,513
34.358,514
34.358,515
34.358,514
34.358,515
34.358,512
34.358,513
34.358,513
34.358,512
34.358,512
34.358,512
34.358,510
34.358,510
34.358,511
34.358,512
34.358,512
34.358,513
34.358,513
34.358,513
34.358,513
34.358,515
34.358,515
34.358,514
34.358,516
34.358,514
34.358,515
34.358,514
34.404,513
34.404,512
34.404,512
34.404,511
34.404,511
34.404,510
34.404,511
34.404,511
34.404,511
34.404,512
34.404,512
34.404,513
34.404,513
34.404,514
34.404,516
34.404,515
34.404,514
34.404,515
34.404,515
34.404,515
34.404,516
34.404,514
34.404,513
34.404,514
34.404,511
34.404,511
34.404,512
34.404,513
34.404,512
34.404,512
34.404,513
34.404,512
34.404,511
34.404,511
34.404,512
34.404,512
34.404,514
34.404,514
34.404,513
34.404,513
34.404,513
34.404,512
34.404,513
34.404,513
34.404,512
34.404,512
34.404,512
34.404,511
34.404,511
34.404,510
34.404,510
34.404,510
34.404,509
34.404,513
34.404,512
34.404,513
34.404,513
34.404,514
34.404,513
34.404,513
34.404,514
34.452,514
34.452,514
34.452,514
34.452,512
34.452,512
34.452,513
34.452,513
34.452,513
34.452,512
34.452,512
34.452,513
34.452,512
34.452,511
34.452,512
34.452,512
34.452,512
34.452,512
34.452,514
34.452,513
34.452,514
34.452,515
34.452,514
34.452,514
34.452,512
34.452,512
34.452,512
34.452,512
34.452,511
34.452,511
34.452,511
34.452,511
34.452,511
34.452,511
34.452,513
34.452,513
34.452,513
34.452,513
34.452,513
34.452,513
34.452,513
34.452,513
34.452,513
34.452,512
34.452,512
34.452,511
34.452,512
34.452,512
34.452,512
34.452,512
34.452,511
34.452,511
34.452,513
34.452,511
34.452,512
34.452,511
34.452,510
34.452,510
34.452,512
34.452,511
34.452,513
34.452,511
34.452,512
34.452,512
34.499,513
34.499,513
34.499,513
34.499,514
34.499,514
34.499,514
34.499,513
34.499,514
34.499,513
34.499,513
34.499,512
34.499,513
34.499,514
34.499,513
34.499,515
34.499,515
34.499,514
34.499,514
34.499,515
34.499,515
34.499,514
34.499,514
34.499,513
34.499,513
34.499,512
34.499,511
34.499,512
34.499,510
34.499,512
34.499,511
34.499,511
34.499,512
34.499,513
34.499,512
34.499,512
34.499,512
34.499,514
34.499,513
34.499,514
34.499,514
34.499,513
34.499,512
34.499,512
34.499,512
34.499,511
34.499,511
34.499,512
34.499,511
34.499,511
34.499,512
34.499,512
34.499,512
34.499,512
34.499,512
34.499,512
34.499,512
34.499,513
34.499,513
34.499,513
34.499,512
34.499,512
34.499,513
34.499,513
34.546,515
34.546,515
34.546,513
34.546,514
34.546,513
34.546,512
34.546,513
34.546,511
34.546,511
34.546,512
34.546,511
34.546,512
34.546,512
34.546,511
34.546,514
34.546,513
34.546,514
34.546,514
34.546,514
34.546,515
34.546,515
34.546,514
34.546,512
34.546,513
34.546,513
34.546,512
34.546,512
34.546,513
34.546,511
34.546,512
34.546,511
34.546,512
34.546,512
34.546,511
34.546,513
34.546,512
34.546,513
34.546,513
34.546,515
34.546,515
34.546,516
34.546,516
34.546,516
34.546,514
34.546,514
34.546,512
34.546,513
34.546,512
34.546,512
34.546,512
34.546,513
34.546,512
34.546,513
34.546,511
34.546,512
34.546,513
34.546,515
34.546,515
34.546,515
34.546,515
34.546,513
34.546,512
34.546,513
34.594,512
34.594,514
34.594,512
34.594,513
34.594,512
34.594,511
34.594,511
34.594,510
34.594,511
34.594,511
34.594,510
34.594,510
34.594,512
34.594,512
34.594,511
34.594,513
34.594,513
34.594,512
34.594,513
34.594,512
34.594,513
34.594,513
34.594,515
34.594,514
34.594,514
34.594,512
34.594,511
34.594,511
34.594,512
34.594,510
34.594,511
34.594,510
34.594,510
34.594,510
34.594,510
34.594,512
34.594,512
34.594,513
34.594,513
34.594,515
34.594,515
34.594,516
34.594,516
34.594,516
34.594,515
34.594,515
34.594,514
34.594,513
34.594,513
34.594,514
34.594,512
34.594,512
34.594,512
34.594,513
34.594,512
34.594,513
34.594,513
34.594,513
34.594,513
34.594,514
34.594,514
34.594,514
34.594,513
34.64,514
34.64,513
34.64,513
34.64,514
34.64,512
34.64,513
34.64,512
34.64,511
34.64,509
34.64,510
34.64,511
34.64,511
34.64,512
34.64,509
34.64,511
34.64,512
34.64,514
34.64,514
34.64,516
34.64,515
34.64,514
34.64,514
34.64,514
34.64,514
34.64,514
34.64,512
34.64,512
34.64,513
34.64,513
34.64,511
34.64,512
34.64,512
34.64,511
34.64,511
34.64,511
34.64,512
34.64,513
34.64,513
34.64,513
34.64,513
34.64,514
34.64,514
34.64,514
34.64,514
34.64,515
34.64,513
34.64,513
34.64,512
34.64,512
34.64,512
34.64,512
34.64,510
34.64,510
34.64,510
34.64,510
34.64,511
34.64,512
34.64,512
34.64,512
34.64,512
34.64,513
34.64,513
34.688,514
34.688,515
34.688,514
34.688,513
34.688,512
34.688,512
34.688,512
34.688,512
34.688,513
34.688,511
34.688,510
34.688,511
34.688,512
34.688,510
34.688,511
34.688,511
34.688,510
34.688,511
34.688,511
34.688,513
34.688,514
34.688,513
34.688,513
34.688,513
34.688,513
34.688,513
34.688,512
34.688,512
34.688,511
34.688,511
34.688,510
34.688,511
34.688,510
34.688,512
34.688,512
34.688,512
34.688,512
34.688,513
34.688,514
34.688,515
34.688,513
34.688,515
34.688,516
34.688,514
34.688,514
34.688,515
34.688,515
34.688,512
34.688,513
34.688,513
34.688,512
34.688,510
34.688,514
34.688,512
34.688,509
34.688,512
34.688,511
34.688,510
34.688,512
34.688,513
34.688,513
34.688,513
34.688,513
34.688,514
34.735,514
34.735,513
34.735,514
34.735,517
34.735,511
34.735,510
34.735,511
34.735,512
34.735,511
34.735,511
34.735,513
34.735,510
34.735,514
34.735,511
34.735,511
34.735,514
34.735,514
34.735,513
34.735,516
34.735,511
34.735,513
34.735,515
34.735,511
34.735,514
34.735,517
34.735,513
34.735,510
34.735,510
34.735,509
34.735,509
34.735,511
34.735,511
34.735,509
34.735,511
34.735,512
34.735,512
34.735,511
34.735,511
34.735,507
34.735,508
34.735,519
34.735,521
34.735,514
34.735,510
34.735,515
34.735,514
34.735,516
34.735,514
34.735,511
34.735,515
34.735,513
34.735,513
34.735,513
34.735,513
34.735,508
34.735,513
34.735,515
34.735,512
34.735,511
34.735,514
34.735,514
34.735,513
34.782,513
34.782,517
34.782,514
34.782,507
34.782,514
34.782,516
34.782,509
34.782,515
34.782,514
34.782,508
34.782,511
34.782,514
34.782,512
34.782,508
34.782,515
34.782,511
34.782,506
34.782,523
34.782,505
34.782,527
34.782,507
34.782,507
34.782,522
34.782,514
34.782,508
34.782,516
34.782,510
34.782,513
34.782,524
34.782,502
34.782,516
34.782,519
34.782,504
34.782,518
34.782,505
34.782,526
34.782,519
34.782,494
34.782,526
34.782,514
34.782,523
34.782,515
34.782,483
34.782,549
34.782,497
34.782,506
34.782,525
34.782,507
34.782,519
34.782,517
34.782,502
34.828,541
34.828,493
34.828,468
34.828,560
34.828,527
34.828,472
34.828,525
34.828,520
34.828,505
34.828,475
34.828,547
34.828,514
34.828,509
34.828,513
34.828,510
34.828,505
34.828,499
34.828,532
34.828,513
34.828,532
34.828,502
34.828,503
34.828,510
34.828,555
34.828,492
34.828,510
34.828,509
34.828,512
34.828,521
34.828,493
34.828,552
34.828,511
34.828,484
34.828,524
34.828,519
34.828,521
34.828,506
34.828,510
34.828,497
34.828,521
34.828,518
34.828,505
34.828,529
34.828,514
34.828,505
34.828,507
34.828,455
34.828,521
34.828,512
34.828,517
34.828,580
34.828,555
34.828,470
34.828,507
34.875,520
34.875,485
34.875,510
34.875,519
34.875,505
34.875,516
34.875,515
34.875,509
34.875,513
34.875,512
34.875,511
34.875,508
34.875,509
34.875,515
34.875,505
34.875,519
34.875,513
34.875,515
34.875,514
34.875,508
34.875,516
34.875,514
34.875,511
34.875,513
34.875,512
34.875,513
34.875,521
34.875,516
34.875,517
34.875,513
34.875,513
34.875,508
34.875,505
34.875,509
34.875,510
34.875,483
34.875,543
34.875,506
34.875,512
34.875,523
34.875,515
34.875,514
34.875,509
34.875,512
34.875,512
34.875,520
34.875,510
34.875,510
34.875,513
34.875,516
34.875,519
34.875,517
34.875,512
34.875,514
34.875,511
34.875,517
34.922,508
34.922,516
34.922,511
34.922,512
34.922,511
34.922,508
34.922,511
34.922,517
34.922,513
34.922,514
34.922,516
34.922,515
