time,M1
45.487,512
45.487,514
45.487,514
45.487,513
45.487,514
45.487,513
45.487,514
45.487,513
45.487,513
45.487,512
45.487,513
45.487,512
45.487,511
45.487,512
45.487,514
45.487,513
45.487,515
45.487,511
45.487,513
45.487,513
45.487,514
45.487,513
45.487,513
45.487,512
45.487,509
45.487,513
45.487,511
45.487,514
45.487,516
45.487,511
45.487,512
45.487,513
45.487,512
45.487,514
45.487,512
45.487,513
45.487,512
45.487,515
45.487,512
45.487,512
45.487,511
45.487,513
45.487,512
45.487,511
45.487,512
45.487,513
45.487,513
45.487,512
45.487,514
45.487,512
45.487,512
45.487,511
45.487,513
45.487,512
45.535,514
45.535,513
45.535,513
45.535,513
45.535,514
45.535,513
45.535,513
45.535,513
45.535,513
45.535,514
45.535,512
45.535,511
45.535,512
45.535,510
45.535,514
45.535,513
45.535,512
45.535,512
45.535,514
45.535,513
45.535,513
45.535,514
45.535,513
45.535,513
45.535,512
45.535,513
45.535,512
45.535,512
45.535,512
45.535,511
45.535,513
45.535,512
45.535,514
45.535,513
45.535,514
45.535,514
45.535,514
45.535,516
45.535,513
45.535,515
45.535,513
45.535,516
45.535,514
45.535,515
45.535,514
45.535,513
45.535,515
45.535,514
45.535,514
45.535,512
45.535,514
45.535,514
45.535,515
45.535,514
45.535,513
45.535,513
45.583,512
45.583,512
45.583,513
45.583,513
45.583,514
45.583,511
45.583,512
45.583,513
45.583,512
45.583,514
45.583,514
45.583,513
45.583,512
45.583,511
45.583,512
45.583,512
45.583,511
45.583,511
45.583,511
45.583,512
45.583,512
45.583,513
45.583,512
45.583,511
45.583,512
45.583,514
45.583,512
45.583,513
45.583,511
45.583,510
45.583,511
45.583,512
45.583,510
45.583,513
45.583,511
45.583,510
45.583,513
45.583,511
45.583,513
45.583,513
45.583,512
45.583,511
45.583,513
45.583,513
45.583,513
45.583,512
45.583,512
45.583,513
45.583,512
45.583,512
45.583,512
45.583,512
45.583,513
45.583,513
45.583,515
45.583,514
45.583,515
45.583,513
45.583,513
45.583,513
45.583,513
45.583,513
45.583,513
45.631,513
45.631,512
45.631,514
45.631,511
45.631,512
45.631,512
45.631,512
45.631,513
45.631,512
45.631,512
45.631,514
45.631,514
45.631,512
45.631,513
45.631,513
45.631,513
45.631,514
45.631,514
45.631,513
45.631,512
45.631,513
45.631,514
45.631,513
45.631,512
45.631,512
45.631,513
45.631,513
45.631,513
45.631,513
45.631,513
45.631,513
45.631,512
45.631,514
45.631,513
45.631,513
45.631,512
45.631,513
45.631,512
45.631,511
45.631,512
45.631,511
45.631,512
45.631,513
45.631,511
45.631,513
45.631,513
45.631,513
45.631,511
45.631,513
45.631,512
45.631,512
45.631,513
45.631,514
45.631,512
45.631,512
45.631,514
45.631,514
45.631,513
45.631,513
45.631,514
45.631,513
45.631,511
45.631,512
45.631,512
45.678,511
45.678,512
45.678,511
45.678,513
45.678,510
45.678,511
45.678,511
45.678,514
45.678,512
45.678,512
45.678,513
45.678,512
45.678,513
45.678,513
45.678,513
45.678,513
45.678,514
45.678,514
45.678,512
45.678,514
45.678,513
45.678,515
45.678,515
45.678,514
45.678,512
45.678,513
45.678,513
45.678,513
45.678,514
45.678,515
45.678,515
45.678,513
45.678,514
45.678,513
45.678,512
45.678,514
45.678,515
45.678,513
45.678,513
45.678,512
45.678,513
45.678,512
45.678,513
45.678,511
45.678,512
45.678,513
45.678,511
45.678,512
45.678,513
45.678,513
45.678,513
45.678,512
45.678,513
45.678,514
45.678,514
45.678,514
45.678,514
45.678,513
45.678,513
45.678,513
45.678,512
45.678,514
45.678,512
45.678,514
45.725,512
45.725,512
45.725,511
45.725,513
45.725,511
45.725,511
45.725,513
45.725,510
45.725,512
45.725,514
45.725,512
45.725,513
45.725,513
45.725,511
45.725,513
45.725,512
45.725,513
45.725,514
45.725,514
45.725,513
45.725,512
45.725,514
45.725,512
45.725,512
45.725,511
45.725,512
45.725,512
45.725,513
45.725,512
45.725,512
45.725,514
45.725,512
45.725,512
45.725,513
45.725,512
45.725,511
45.725,513
45.725,513
45.725,512
45.725,513
45.725,513
45.725,512
45.725,513
45.725,512
45.725,512
45.725,513
45.725,511
45.725,514
45.725,512
45.725,513
45.725,514
45.725,510
45.725,514
45.725,512
45.725,513
45.725,513
45.725,514
45.725,513
45.725,513
45.725,513
45.725,513
45.773,515
45.773,511
45.773,513
45.773,515
45.773,514
45.773,514
45.773,515
45.773,511
45.773,514
45.773,512
45.773,514
45.773,514
45.773,513
45.773,513
45.773,513
45.773,514
45.773,512
45.773,514
45.773,514
45.773,516
45.773,514
45.773,514
45.773,514
45.773,513
45.773,511
45.773,512
45.773,513
45.773,512
45.773,515
45.773,511
45.773,513
45.773,513
45.773,512
45.773,515
45.773,513
45.773,512
45.773,511
45.773,512
45.773,512
45.773,513
45.773,511
45.773,509
45.773,512
45.773,511
45.773,513
45.773,512
45.773,512
45.773,515
45.773,512
45.773,512
45.773,512
45.773,511
45.773,513
45.773,512
45.773,512
45.773,510
45.773,512
45.773,512
45.773,512
45.773,510
45.773,510
45.773,512
45.773,512
45.773,512
45.82,512
45.82,512
45.82,515
45.82,512
45.82,511
45.82,513
45.82,511
45.82,513
45.82,513
45.82,513
45.82,513
45.82,513
45.82,511
45.82,514
45.82,512
45.82,512
45.82,513
45.82,511
45.82,512
45.82,513
45.82,513
45.82,512
45.82,512
45.82,512
45.82,512
45.82,511
45.82,511
45.82,513
45.82,511
45.82,513
45.82,512
45.82,512
45.82,513
45.82,511
45.82,515
45.82,513
45.82,513
45.82,513
45.82,513
45.82,513
45.82,512
45.82,513
45.82,514
45.82,514
45.82,513
45.82,511
45.82,512
45.82,514
45.82,513
45.82,514
45.82,511
45.82,511
45.82,513
45.82,513
45.82,515
45.82,514
45.82,512
45.82,514
45.82,514
45.82,513
45.82,512
45.82,513
45.82,514
45.867,514
45.867,514
45.867,511
45.867,513
45.867,513
45.867,513
45.867,514
45.867,513
45.867,513
45.867,514
45.867,511
45.867,512
45.867,513
45.867,512
45.867,514
45.867,512
45.867,511
45.867,512
45.867,514
45.867,511
45.867,511
45.867,512
45.867,512
45.867,513
45.867,512
45.867,513
45.867,513
45.867,511
45.867,514
45.867,513
45.867,512
45.867,513
45.867,512
45.867,513
45.867,513
45.867,512
45.867,512
45.867,513
45.867,512
45.867,513
45.867,513
45.867,512
45.867,513
45.867,511
45.867,514
45.867,514
45.867,512
45.867,511
45.867,514
45.867,510
45.867,513
45.867,513
45.867,513
45.867,514
45.867,511
45.867,513
45.867,512
45.867,513
45.867,513
45.867,513
45.867,514
45.867,512
45.867,512
45.867,513
45.915,514
45.915,513
45.915,513
45.915,514
45.915,514
45.915,516
45.915,513
45.915,516
45.915,516
45.915,512
45.915,512
45.915,513
45.915,512
45.915,513
45.915,512
45.915,513
45.915,514
45.915,511
45.915,514
45.915,511
45.915,513
45.915,515
45.915,513
45.915,514
45.915,514
45.915,513
45.915,515
45.915,513
45.915,513
45.915,512
45.915,513
45.915,514
45.915,514
45.915,515
45.915,513
45.915,513
45.915,513
45.915,513
45.915,512
45.915,513
45.915,513
45.915,512
45.915,512
45.915,512
45.915,513
45.915,512
45.915,514
45.915,511
45.915,511
45.915,512
45.915,513
45.915,511
45.915,512
45.915,512
45.915,513
45.915,510
45.915,512
45.915,512
45.915,514
45.915,512
45.915,511
45.915,513
45.962,509
45.962,512
45.962,511
45.962,511
45.962,513
45.962,513
45.962,512
45.962,513
45.962,513
45.962,513
45.962,512
45.962,512
45.962,511
45.962,512
45.962,513
45.962,512
45.962,510
45.962,511
45.962,512
45.962,512
45.962,512
45.962,510
45.962,513
45.962,510
45.962,513
45.962,511
45.962,512
45.962,513
45.962,513
45.962,514
45.962,513
45.962,512
45.962,514
45.962,512
45.962,513
45.962,512
45.962,514
45.962,512
45.962,513
45.962,512
45.962,513
45.962,515
45.962,513
45.962,515
45.962,513
45.962,514
45.962,513
45.962,514
45.962,513
45.962,513
45.962,513
45.962,513
45.962,512
45.962,512
46.009,513
46.009,513
46.009,513
46.009,515
46.009,512
46.009,513
46.009,514
46.009,514
46.009,515
46.009,513
46.009,514
46.009,513
46.009,513
46.009,515
46.009,514
46.009,513
46.009,513
46.009,512
46.009,513
46.009,514
46.009,513
46.009,513
46.009,514
46.009,513
46.009,513
46.009,513
46.009,514
46.009,513
46.009,513
46.009,513
46.009,513
46.009,512
46.009,515
46.009,512
46.009,513
46.009,512
46.009,514
46.009,513
46.009,513
46.009,513
46.009,512
46.009,512
46.009,513
46.009,511
46.009,513
46.009,511
46.009,512
46.009,510
46.009,514
46.009,511
46.009,513
46.009,514
46.009,514
46.009,515
46.009,513
46.057,514
46.057,513
46.057,513
46.057,514
46.057,514
46.057,514
46.057,513
46.057,514
46.057,512
46.057,512
46.057,512
46.057,513
46.057,513
46.057,512
46.057,513
46.057,512
46.057,512
46.057,513
46.057,512
46.057,514
46.057,512
46.057,514
46.057,511
46.057,513
46.057,511
46.057,512
46.057,513
46.057,513
46.057,513
46.057,514
46.057,513
46.057,514
46.057,513
46.057,512
46.057,513
46.057,512
46.057,515
46.057,514
46.057,513
46.057,510
46.057,513
46.057,512
46.057,515
46.057,513
46.057,515
46.057,513
46.057,511
46.057,511
46.057,511
46.057,512
46.057,512
46.057,512
46.057,513
46.057,511
46.057,513
46.057,514
46.057,514
46.057,515
46.103,513
46.103,514
46.103,514
46.103,512
46.103,513
46.103,513
46.103,513
46.103,511
46.103,513
46.103,513
46.103,515
46.103,511
46.103,510
46.103,510
46.103,507
46.103,515
46.103,522
46.103,522
46.103,506
46.103,516
46.103,509
46.103,510
46.103,511
46.103,509
46.103,511
46.103,511
46.103,506
46.103,513
46.103,513
46.103,516
46.103,514
46.103,513
46.103,514
46.103,511
46.103,514
46.103,516
46.103,515
46.103,514
46.103,516
46.103,514
46.103,517
46.103,516
46.103,514
46.103,513
46.103,515
46.103,511
46.103,511
46.103,514
46.103,512
46.103,513
46.103,514
46.103,512
46.103,514
46.103,513
46.103,511
46.103,512
46.103,511
46.103,514
46.152,513
46.152,512
46.152,510
46.152,512
46.152,511
46.152,513
46.152,513
46.152,515
46.152,513
46.152,512
46.152,514
46.152,514
46.152,513
46.152,514
46.152,512
46.152,513
46.152,509
46.152,513
46.152,513
46.152,512
46.152,514
46.152,511
46.152,510
46.152,511
46.152,511
46.152,512
46.152,511
46.152,513
46.152,513
46.152,511
46.152,511
46.152,513
46.152,514
46.152,514
46.152,515
46.152,512
46.152,513
46.152,513
46.152,515
46.152,516
46.152,513
46.152,513
46.152,515
46.152,512
46.152,512
46.152,515
46.152,514
