time,M1
11.351,513
11.351,512
11.351,513
11.351,513
11.351,514
11.351,513
11.351,512
11.351,513
11.351,513
11.351,513
11.351,512
11.351,513
11.351,512
11.351,512
11.351,513
11.351,513
11.351,514
11.351,513
11.351,514
11.351,513
11.351,513
11.351,512
11.351,515
11.351,513
11.351,515
11.351,513
11.351,512
11.351,515
11.351,513
11.351,513
11.351,513
11.351,512
11.351,511
11.351,511
11.351,512
11.351,512
11.351,514
11.351,512
11.351,510
11.351,513
11.351,512
11.351,513
11.351,514
11.351,513
11.351,513
11.351,513
11.351,512
11.351,513
11.351,514
11.351,513
11.351,513
11.351,514
11.351,515
11.351,514
11.351,514
11.351,514
11.351,514
11.351,514
11.351,513
11.351,513
11.351,513
11.398,514
11.398,513
11.398,514
11.398,512
11.398,512
11.398,512
11.398,513
11.398,514
11.398,513
11.398,513
11.398,513
11.398,513
11.398,512
11.398,512
11.398,512
11.398,514
11.398,513
11.398,513
11.398,512
11.398,512
11.398,512
11.398,512
11.398,512
11.398,512
11.398,513
11.398,512
11.398,513
11.398,513
11.398,512
11.398,512
11.398,512
11.398,513
11.398,513
11.398,513
11.398,512
11.398,512
11.398,512
11.398,514
11.398,513
11.398,513
11.398,512
11.398,512
11.398,513
11.398,513
11.398,512
11.398,511
11.398,511
11.398,512
11.398,512
11.398,512
11.398,512
11.398,513
11.398,513
11.398,514
11.398,514
11.398,513
11.398,513
11.398,513
11.398,514
11.398,514
11.398,514
11.398,513
11.398,513
11.444,514
11.444,513
11.444,513
11.444,513
11.444,513
11.444,512
11.444,512
11.444,513
11.444,512
11.444,512
11.444,511
11.444,513
11.444,511
11.444,512
11.444,511
11.444,512
11.444,513
11.444,511
11.444,512
11.444,512
11.444,512
11.444,512
11.444,512
11.444,513
11.444,513
11.444,512
11.444,511
11.444,513
11.444,513
11.444,514
11.444,513
11.444,512
11.444,514
11.444,513
11.444,514
11.444,513
11.444,515
11.444,513
11.444,511
11.444,512
11.444,514
11.444,514
11.444,514
11.444,512
11.444,512
11.444,513
11.444,512
11.444,513
11.444,513
11.444,513
11.444,513
11.444,514
11.444,512
11.444,512
11.444,512
11.444,512
11.444,512
11.444,512
11.444,512
11.444,511
11.444,511
11.444,511
11.491,512
11.491,511
11.491,513
11.491,512
11.491,514
11.491,513
11.491,513
11.491,512
11.491,512
11.491,513
11.491,514
11.491,513
11.491,514
11.491,514
11.491,514
11.491,514
11.491,514
11.491,512
11.491,512
11.491,513
11.491,513
11.491,512
11.491,513
11.491,511
11.491,513
11.491,510
11.491,511
11.491,511
11.491,512
11.491,513
11.491,513
11.491,512
11.491,512
11.491,513
11.491,514
11.491,512
11.491,512
11.491,513
11.491,513
11.491,513
11.491,513
11.491,512
11.491,513
11.491,513
11.491,514
11.491,513
11.491,513
11.491,513
11.491,513
11.491,512
11.491,512
11.491,512
11.491,514
11.491,512
11.491,514
11.491,512
11.491,513
11.491,512
11.491,511
11.491,511
11.491,512
11.491,511
11.538,512
11.538,511
11.538,511
11.538,511
11.538,513
11.538,513
11.538,513
11.538,513
11.538,513
11.538,514
11.538,514
11.538,513
11.538,514
11.538,513
11.538,513
11.538,514
11.538,513
11.538,514
11.538,513
11.538,514
11.538,513
11.538,515
11.538,514
11.538,513
11.538,513
11.538,512
11.538,513
11.538,513
11.538,512
11.538,514
11.538,513
11.538,513
11.538,513
11.538,514
11.538,512
11.538,513
11.538,513
11.538,515
11.538,513
11.538,514
11.538,514
11.538,513
11.538,512
11.538,513
11.538,515
11.538,512
11.538,513
11.538,513
11.538,513
11.538,513
11.538,512
11.538,512
11.538,512
11.538,513
11.538,512
11.538,512
11.538,511
11.538,512
11.538,512
11.538,513
11.538,513
11.585,512
11.585,512
11.585,514
11.585,512
11.585,511
11.585,511
11.585,512
11.585,511
11.585,512
11.585,511
11.585,512
11.585,512
11.585,512
11.585,513
11.585,513
11.585,513
11.585,514
11.585,512
11.585,512
11.585,512
11.585,513
11.585,512
11.585,513
11.585,513
11.585,513
11.585,514
11.585,514
11.585,514
11.585,516
11.585,514
11.585,514
11.585,514
11.585,513
11.585,512
11.585,514
11.585,513
11.585,512
11.585,513
11.585,512
11.585,513
11.585,512
11.585,514
11.585,513
11.585,513
11.585,511
11.585,510
11.585,513
11.585,510
11.585,510
11.585,512
11.585,512
11.585,512
11.585,510
11.585,512
11.585,513
11.585,512
11.585,512
11.585,512
11.585,512
11.585,513
11.585,512
11.585,513
11.585,513
11.632,512
11.632,512
11.632,511
11.632,511
11.632,512
11.632,513
11.632,513
11.632,514
11.632,511
11.632,512
11.632,511
11.632,511
11.632,511
11.632,511
11.632,513
11.632,513
11.632,513
11.632,513
11.632,513
11.632,512
11.632,512
11.632,512
11.632,512
11.632,513
11.632,513
11.632,513
11.632,513
11.632,513
11.632,513
11.632,513
11.632,513
11.632,513
11.632,512
11.632,512
11.632,512
11.632,511
11.632,512
11.632,512
11.632,513
