time,X1,Y1,X2,Y2,Z2
22.272,90.31,71.68,1.61,-8.93,-3.44
22.272,90.46,71.68,1.61,-8.93,-3.44
22.272,90.31,71.53,1.61,-8.93,-3.44
22.272,90.31,71.68,1.59,-8.97,-3.44
22.272,90.16,71.68,1.59,-8.97,-3.44
22.272,90.16,71.82,1.59,-8.97,-3.44
22.272,90.16,71.53,1.59,-8.97,-3.44
22.272,90.01,71.39,1.59,-8.97,-3.44
22.272,90.16,71.68,1.59,-8.97,-3.44
22.272,90.01,71.53,1.54,-8.91,-3.47
22.272,89.86,71.53,1.54,-8.91,-3.47
22.272,90.01,71.68,1.54,-8.91,-3.47
22.272,90.16,71.68,1.54,-8.91,-3.47
22.272,90.16,71.68,1.54,-8.91,-3.47
22.319,90.16,71.68,1.54,-8.91,-3.47
22.319,90.46,71.82,1.51,-8.96,-3.45
22.319,90.31,71.82,1.51,-8.96,-3.45
22.319,90.16,71.68,1.51,-8.96,-3.45
22.319,90.16,71.39,1.51,-8.96,-3.45
22.319,90.31,71.68,1.51,-8.96,-3.45
22.319,90.16,71.68,1.51,-8.96,-3.45
22.319,90.31,71.53,1.55,-8.95,-3.44
22.319,90.31,71.68,1.55,-8.95,-3.44
22.319,90.16,71.39,1.55,-8.95,-3.44
22.319,90.16,71.53,1.55,-8.95,-3.44
22.319,90.31,71.53,1.55,-8.95,-3.44
22.319,90.31,71.53,1.55,-8.95,-3.44
22.319,90.31,71.53,1.61,-8.99,-3.4
22.366,90.01,71.53,1.61,-8.99,-3.4
22.366,90.16,71.53,1.61,-8.99,-3.4
22.366,90.01,71.68,1.61,-8.99,-3.4
22.366,90.01,71.53,1.61,-8.99,-3.4
22.366,90.16,71.68,1.61,-8.99,-3.4
22.366,90.16,71.53,1.53,-8.89,-3.4
22.366,90.16,71.68,1.53,-8.89,-3.4
22.366,90.31,71.53,1.53,-8.89,-3.4
22.366,90.16,71.68,1.53,-8.89,-3.4
22.366,90.16,71.68,1.53,-8.89,-3.4
