time,X1,Y1,X2,Y2,Z2
46.23,90.31,72.25,1.21,-9,-3.23
46.23,90.31,72.11,1.21,-9,-3.23
46.23,90.46,72.11,1.21,-9,-3.23
46.23,90.16,71.96,1.21,-9,-3.23
46.23,90.31,71.96,1.21,-9,-3.23
46.23,90.16,72.11,1.21,-9,-3.23
46.23,90.01,72.11,1.22,-8.96,-3.21
46.23,90.16,72.11,1.22,-8.96,-3.21
46.23,90.46,72.11,1.22,-8.96,-3.21
46.23,90.46,71.96,1.22,-8.96,-3.21
46.23,90.46,72.11,1.22,-8.96,-3.21
46.23,90.46,72.11,1.22,-8.96,-3.21
46.23,90.31,72.25,1.17,-9.13,-3.3
46.23,90.61,72.11,1.17,-9.13,-3.3
46.277,90.31,72.25,1.17,-9.13,-3.3
46.277,90.31,72.11,1.17,-9.13,-3.3
46.277,90.31,71.96,1.17,-9.13,-3.3
46.277,90.31,72.11,1.17,-9.13,-3.3
46.277,90.16,71.96,1.25,-9.06,-3.33
46.277,90.31,72.11,1.25,-9.06,-3.33
46.277,90.31,72.11,1.25,-9.06,-3.33
46.277,90.16,72.11,1.25,-9.06,-3.33
46.277,90.31,72.11,1.25,-9.06,-3.33
46.277,90.46,72.39,1.25,-9.06,-3.33
46.277,90.31,72.25,1.25,-9.06,-3.33
46.277,90.61,72.25,1.17,-9.08,-3.32
46.277,90.31,72.25,1.17,-9.08,-3.32
46.277,90.46,72.25,1.17,-9.08,-3.32
46.324,90.31,72.25,1.17,-9.08,-3.32
46.324,90.31,72.25,1.17,-9.08,-3.32
46.324,90.61,72.25,1.17,-9.08,-3.32
46.324,90.31,72.25,1.14,-9.05,-3.3
46.324,90.46,72.25,1.14,-9.05,-3.3
46.324,90.31,72.39,1.14,-9.05,-3.3
46.324,90.31,72.11,1.14,-9.05,-3.3
46.324,90.31,72.53,1.14,-9.05,-3.3
46.324,90.31,72.11,1.14,-9.05,-3.3
46.324,90.61,72.11,1.17,-9,-3.37
46.324,90.46,72.11,1.17,-9,-3.37
46.324,90.46,72.11,1.17,-9,-3.37
46.324,90.46,72.39,1.17,-9,-3.37
46.324,90.46,72.68,1.17,-9,-3.37
46.324,90.61,72.25,1.17,-9,-3.37
46.372,90.46,72.11,1.13,-9.1,-3.24
46.372,90.31,72.11,1.13,-9.1,-3.24
46.372,90.46,72.25,1.13,-9.1,-3.24
46.372,90.46,71.96,1.13,-9.1,-3.24
46.372,90.31,71.96,1.13,-9.1,-3.24
46.372,90.31,71.96,1.13,-9.1,-3.24
46.372,90.16,71.96,1.26,-9.01,-3.25
46.372,90.01,72.11,1.26,-9.01,-3.25
46.372,90.16,71.82,1.26,-9.01,-3.25
46.372,90.01,71.82,1.26,-9.01,-3.25
