time,X1,Y1,X2,Y2,Z2
39.942,88.8,71.25,1.5,-8.25,-4.96
39.942,88.95,71.53,1.5,-8.25,-4.96
39.942,89.26,71.53,1.5,-8.25,-4.96
39.942,88.95,71.39,1.5,-8.25,-4.96
39.942,89.26,71.68,1.5,-8.25,-4.96
39.942,88.95,71.68,1.66,-8.38,-4.92
39.942,88.95,71.82,1.66,-8.38,-4.92
39.942,89.1,71.82,1.66,-8.38,-4.92
39.942,88.95,71.82,1.66,-8.38,-4.92
39.942,88.95,71.96,1.66,-8.38,-4.92
39.942,88.95,72.11,1.66,-8.38,-4.92
39.942,89.26,72.25,1.46,-8.39,-4.93
39.942,89.1,72.11,1.46,-8.39,-4.93
39.942,89.26,72.11,1.46,-8.39,-4.93
39.988,89.41,72.11,1.46,-8.39,-4.93
39.988,89.26,72.25,1.46,-8.39,-4.93
39.988,89.1,72.11,1.46,-8.39,-4.93
39.988,89.26,72.11,1.36,-8.44,-4.89
39.988,89.1,72.11,1.36,-8.44,-4.89
39.988,89.26,72.11,1.36,-8.44,-4.89
39.988,89.41,71.96,1.36,-8.44,-4.89
39.988,89.1,71.96,1.36,-8.44,-4.89
39.988,88.95,71.96,1.36,-8.44,-4.89
39.988,89.1,71.96,1.44,-8.36,-4.82
39.988,89.26,71.82,1.44,-8.36,-4.82
39.988,89.41,71.68,1.44,-8.36,-4.82
39.988,89.1,71.82,1.44,-8.36,-4.82
39.988,88.8,72.39,1.44,-8.36,-4.82
40.035,88.95,71.82,1.44,-8.36,-4.82
40.035,88.95,71.82,1.57,-8.28,-4.75
40.035,88.95,71.68,1.57,-8.28,-4.75
40.035,88.95,71.82,1.57,-8.28,-4.75
40.035,88.8,71.82,1.57,-8.28,-4.75
40.035,89.1,71.82,1.57,-8.28,-4.75
40.035,89.26,71.96,1.57,-8.28,-4.75
40.035,88.95,71.96,1.49,-8.3,-4.78
40.035,88.5,71.96,1.49,-8.3,-4.78
40.035,89.1,72.25,1.49,-8.3,-4.78
40.035,88.95,72.11,1.49,-8.3,-4.78
40.035,89.26,72.25,1.49,-8.3,-4.78
40.035,89.41,72.25,1.49,-8.3,-4.78
40.035,89.1,71.96,1.36,-8.4,-4.79
40.081,88.95,72.11,1.36,-8.4,-4.79
40.081,89.26,72.11,1.36,-8.4,-4.79
40.081,89.26,72.11,1.36,-8.4,-4.79
40.081,89.1,71.96,1.36,-8.4,-4.79
40.081,89.41,71.96,1.36,-8.4,-4.79
40.081,89.26,71.96,1.4,-8.43,-4.71
40.081,89.26,71.82,1.4,-8.43,-4.71
40.081,89.26,71.96,1.4,-8.43,-4.71
40.081,89.26,71.96,1.4,-8.43,-4.71
40.081,89.1,71.68,1.4,-8.43,-4.71
40.081,89.1,71.82,1.4,-8.43,-4.71
40.081,88.95,71.68,1.55,-8.34,-4.7
40.081,88.95,71.68,1.55,-8.34,-4.7
40.081,88.95,71.96,1.55,-8.34,-4.7
40.128,88.95,71.68,1.55,-8.34,-4.7
40.128,88.95,71.68,1.55,-8.34,-4.7
40.128,89.26,71.82,1.55,-8.34,-4.7
40.128,89.26,71.82,1.52,-8.41,-4.71
40.128,89.41,72.11,1.52,-8.41,-4.71
40.128,89.26,71.96,1.52,-8.41,-4.71
40.128,89.26,70.82,1.52,-8.41,-4.71
40.128,89.26,72.11,1.52,-8.41,-4.71
