time,X1,Y1,X2,Y2,Z2
4.448,90.31,71.68,1.57,-9.1,-3.12
4.448,90.31,71.68,1.57,-9.1,-3.12
4.448,90.61,71.53,1.57,-9.1,-3.12
4.448,90.16,71.53,1.57,-9.1,-3.12
4.448,90.31,71.68,1.57,-9.1,-3.12
4.448,90.46,71.53,1.57,-9.1,-3.12
4.448,90.31,71.53,1.54,-9.1,-3.14
4.448,90.61,71.53,1.54,-9.1,-3.14
4.448,90.46,71.53,1.54,-9.1,-3.14
4.448,90.61,71.53,1.54,-9.1,-3.14
4.448,90.46,71.53,1.54,-9.1,-3.14
4.448,90.46,71.39,1.54,-9.1,-3.14
4.448,90.46,71.68,1.57,-9.09,-3.11
4.496,90.46,70.53,1.57,-9.09,-3.11
4.496,90.46,71.53,1.57,-9.09,-3.11
4.496,90.46,71.68,1.57,-9.09,-3.11
4.496,90.31,71.68,1.57,-9.09,-3.11
4.496,90.46,71.68,1.53,-9.12,-3.13
4.496,90.31,71.53,1.53,-9.12,-3.13
4.496,90.61,71.68,1.53,-9.12,-3.13
4.496,90.61,71.53,1.53,-9.12,-3.13
4.496,90.61,71.53,1.53,-9.12,-3.13
4.496,90.46,71.39,1.53,-9.12,-3.13
4.496,90.46,71.53,1.64,-9.16,-3.02
4.496,90.46,71.39,1.64,-9.16,-3.02
4.496,90.46,71.25,1.64,-9.16,-3.02
4.542,90.46,71.25,1.64,-9.16,-3.02
4.542,90.46,71.39,1.64,-9.16,-3.02
4.542,90.16,71.53,1.65,-9.07,-3
4.542,90.31,71.53,1.65,-9.07,-3
4.542,90.61,71.68,1.65,-9.07,-3
4.542,90.46,71.68,1.65,-9.07,-3
4.542,90.46,71.68,1.65,-9.07,-3
4.542,90.61,71.68,1.65,-9.07,-3
4.542,90.61,71.82,1.48,-9.16,-3.02
4.542,90.61,71.82,1.48,-9.16,-3.02
4.542,90.61,71.82,1.48,-9.16,-3.02
4.542,90.46,71.96,1.48,-9.16,-3.02
4.542,90.46,71.68,1.48,-9.16,-3.02
4.542,90.61,71.68,1.48,-9.16,-3.02
4.59,90.61,71.68,1.44,-9.16,-3.08
4.59,90.61,71.68,1.44,-9.16,-3.08
4.59,90.31,71.53,1.44,-9.16,-3.08
4.59,90.76,71.68,1.44,-9.16,-3.08
4.59,90.46,71.25,1.44,-9.16,-3.08
4.59,90.61,71.39,1.44,-9.16,-3.08
4.59,90.46,71.39,1.61,-9.17,-3.08
4.59,90.46,71.53,1.61,-9.17,-3.08
4.59,90.46,71.53,1.61,-9.17,-3.08
4.59,90.46,69.1,1.61,-9.17,-3.08
4.59,90.46,71.53,1.61,-9.17,-3.08
4.59,90.46,71.39,1.61,-9.17,-3.08
4.59,90.46,71.53,1.61,-9.11,-3.14
4.59,90.61,71.39,1.61,-9.11,-3.14
4.638,90.46,71.53,1.61,-9.11,-3.14
4.638,90.46,71.39,1.61,-9.11,-3.14
4.638,90.46,71.53,1.61,-9.11,-3.14
4.638,90.31,71.53,1.61,-9.11,-3.14
4.638,90.46,71.53,1.6,-9.13,-3.1
4.638,90.16,71.39,1.6,-9.13,-3.1
4.638,90.16,71.53,1.6,-9.13,-3.1
4.638,90.31,71.25,1.6,-9.13,-3.1
4.638,89.71,71.53,1.6,-9.13,-3.1
4.638,90.46,71.39,1.6,-9.13,-3.1
4.638,90.46,71.25,1.62,-9.06,-3.08
4.638,90.61,71.53,1.62,-9.06,-3.08
4.638,90.46,71.68,1.62,-9.06,-3.08
4.638,90.46,71.68,1.62,-9.06,-3.08
4.638,90.31,71.39,1.62,-9.06,-3.08
4.685,90.31,71.53,1.62,-9.06,-3.08
4.685,90.31,71.39,1.57,-9.1,-3.04
4.685,90.46,71.53,1.57,-9.1,-3.04
4.685,90.46,71.53,1.57,-9.1,-3.04
4.685,90.61,71.53,1.57,-9.1,-3.04
4.685,90.31,71.53,1.57,-9.1,-3.04
4.685,90.31,71.53,1.57,-9.1,-3.04
4.685,90.46,71.68,1.58,-9.07,-3.04
4.685,90.46,71.53,1.58,-9.07,-3.04
4.685,90.31,71.53,1.58,-9.07,-3.04
4.685,90.46,71.39,1.58,-9.07,-3.04
4.685,90.46,70.96,1.58,-9.07,-3.04
4.685,90.31,71.53,1.58,-9.07,-3.04
4.685,90.31,71.68,1.56,-9.06,-3.03
4.732,90.16,71.53,1.56,-9.06,-3.03
4.732,90.31,71.53,1.56,-9.06,-3.03
4.732,90.16,71.68,1.56,-9.06,-3.03
4.732,90.31,71.53,1.56,-9.06,-3.03
4.732,90.31,71.53,1.56,-9.06,-3.03
4.732,90.31,71.39,1.57,-9.04,-2.98
4.732,89.56,71.39,1.57,-9.04,-2.98
4.732,90.31,71.39,1.57,-9.04,-2.98
4.732,90.46,71.39,1.57,-9.04,-2.98
4.732,90.16,71.39,1.57,-9.04,-2.98
4.732,90.16,71.53,1.57,-9.04,-2.98
4.732,92.27,71.39,1.6,-9.05,-2.95
4.732,90.31,71.53,1.6,-9.05,-2.95
4.732,90.31,71.53,1.6,-9.05,-2.95
4.779,90.31,71.39,1.6,-9.05,-2.95
4.779,90.46,71.53,1.6,-9.05,-2.95
4.779,90.46,71.39,1.6,-9.05,-2.95
4.779,90.76,71.39,1.61,-9.07,-2.95
4.779,90.46,71.53,1.61,-9.07,-2.95
4.779,90.31,71.53,1.61,-9.07,-2.95
4.779,90.46,71.53,1.61,-9.07,-2.95
4.779,90.46,71.39,1.61,-9.07,-2.95
4.779,90.61,71.53,1.62,-9.09,-2.91
4.779,90.46,71.53,1.62,-9.09,-2.91
4.779,90.46,71.53,1.62,-9.09,-2.91
4.779,90.61,71.39,1.62,-9.09,-2.91
4.779,90.61,71.39,1.62,-9.09,-2.91
4.827,90.46,71.39,1.62,-9.09,-2.91
4.827,90.46,71.39,1.61,-9.12,-2.84
4.827,90.46,71.25,1.61,-9.12,-2.84
4.827,90.46,71.39,1.61,-9.12,-2.84
4.827,90.31,71.25,1.61,-9.12,-2.84
4.827,90.46,71.53,1.61,-9.12,-2.84
4.827,90.46,71.39,1.66,-9.09,-2.73
4.827,90.61,71.39,1.66,-9.09,-2.73
4.827,90.31,71.39,1.66,-9.09,-2.73
4.827,90.46,71.39,1.66,-9.09,-2.73
4.827,90.46,71.53,1.66,-9.09,-2.73
4.827,90.61,71.39,1.66,-9.09,-2.73
4.827,90.46,71.39,1.63,-9.1,-2.7
4.873,90.46,71.39,1.63,-9.1,-2.7
4.873,90.46,71.53,1.63,-9.1,-2.7
4.873,90.61,71.53,1.63,-9.1,-2.7
4.873,90.46,71.53,1.63,-9.1,-2.7
4.873,90.61,71.53,1.63,-9.1,-2.7
4.873,90.46,71.39,1.58,-9.11,-2.73
4.873,90.46,71.25,1.58,-9.11,-2.73
4.873,90.31,71.1,1.58,-9.11,-2.73
4.873,90.46,71.1,1.58,-9.11,-2.73
4.873,90.16,71.25,1.58,-9.11,-2.73
4.873,90.16,71.25,1.69,-8.99,-2.73
4.873,90.31,71.25,1.69,-8.99,-2.73
4.873,90.46,71.25,1.69,-8.99,-2.73
4.921,90.61,71.25,1.69,-8.99,-2.73
4.921,90.61,71.25,1.69,-8.99,-2.73
4.921,90.61,71.25,1.69,-8.99,-2.73
4.921,90.46,71.53,1.7,-9.11,-2.72
4.921,90.76,71.25,1.7,-9.11,-2.72
4.921,90.76,71.1,1.7,-9.11,-2.72
4.921,90.76,71.1,1.7,-9.11,-2.72
4.921,90.76,71.25,1.7,-9.11,-2.72
4.921,90.76,71.1,1.75,-9.32,-2.76
4.921,90.91,71.25,1.75,-9.32,-2.76
4.921,90.76,71.25,1.75,-9.32,-2.76
4.921,90.91,71.25,1.75,-9.32,-2.76
4.921,90.91,71.53,1.75,-9.32,-2.76
4.921,90.91,71.25,1.75,-9.32,-2.76
4.967,91.06,71.53,1.7,-9.37,-2.69
4.967,90.61,71.25,1.7,-9.37,-2.69
4.967,90.46,71.53,1.7,-9.37,-2.69
4.967,90.46,71.53,1.7,-9.37,-2.69
4.967,90.31,71.53,1.7,-9.37,-2.69
4.967,90.46,71.39,1.59,-9.15,-2.69
4.967,90.31,71.25,1.59,-9.15,-2.69
4.967,90.31,71.25,1.59,-9.15,-2.69
4.967,90.46,71.39,1.59,-9.15,-2.69
4.967,90.31,71.39,1.59,-9.15,-2.69
4.967,90.31,71.39,1.59,-9.15,-2.69
4.967,90.61,71.68,1.58,-9.03,-2.63
5.013,90.61,71.53,1.58,-9.03,-2.63
5.013,90.46,71.53,1.58,-9.03,-2.63
5.013,90.76,71.53,1.58,-9.03,-2.63
5.013,90.61,71.39,1.58,-9.03,-2.63
5.013,90.46,71.68,1.55,-9.14,-2.83
5.013,90.16,71.53,1.55,-9.14,-2.83
5.013,90.31,71.53,1.55,-9.14,-2.83
5.013,90.01,71.39,1.55,-9.14,-2.83
5.013,90.01,71.39,1.55,-9.14,-2.83
5.013,89.86,71.39,1.55,-9.14,-2.83
