time,X1,Y1,X2,Y2,Z2
51.731,88.95,71.53,1.65,-8.27,-4.89
51.731,88.95,71.53,1.65,-8.27,-4.89
51.731,89.1,71.68,1.65,-8.27,-4.89
51.731,88.95,71.68,1.65,-8.27,-4.89
51.731,89.1,71.53,1.65,-8.27,-4.89
51.731,89.1,71.39,1.65,-8.27,-4.89
51.731,89.1,71.39,1.69,-8.36,-4.83
51.731,88.95,71.68,1.69,-8.36,-4.83
51.731,88.95,71.53,1.69,-8.36,-4.83
51.731,88.95,71.53,1.69,-8.36,-4.83
51.731,88.8,71.53,1.69,-8.36,-4.83
51.731,88.8,71.68,1.69,-8.36,-4.83
51.731,88.8,71.53,1.69,-8.36,-4.83
51.731,88.95,71.53,1.68,-8.23,-4.94
51.779,88.95,71.68,1.68,-8.23,-4.94
51.779,88.8,71.68,1.68,-8.23,-4.94
51.779,89.26,71.68,1.68,-8.23,-4.94
51.779,89.26,71.82,1.68,-8.23,-4.94
51.779,88.8,71.82,1.68,-8.23,-4.94
51.779,88.95,71.96,1.55,-8.34,-4.93
51.779,88.95,71.96,1.55,-8.34,-4.93
51.779,89.26,71.96,1.55,-8.34,-4.93
51.779,88.95,71.96,1.55,-8.34,-4.93
51.779,88.95,71.25,1.55,-8.34,-4.93
51.779,89.26,71.82,1.55,-8.34,-4.93
51.779,89.1,71.68,1.55,-8.36,-4.96
51.779,88.95,71.68,1.55,-8.36,-4.96
51.779,89.26,71.68,1.55,-8.36,-4.96
51.779,89.1,71.53,1.55,-8.36,-4.96
51.826,89.1,71.39,1.55,-8.36,-4.96
51.826,88.95,71.53,1.55,-8.36,-4.96
51.826,88.95,71.53,1.7,-8.38,-4.88
51.826,88.95,71.53,1.7,-8.38,-4.88
51.826,88.95,71.68,1.7,-8.38,-4.88
51.826,89.1,71.68,1.7,-8.38,-4.88
51.826,88.95,71.68,1.7,-8.38,-4.88
51.826,88.95,71.68,1.7,-8.38,-4.88
51.826,88.8,71.53,1.7,-8.38,-4.88
51.826,88.8,71.53,1.63,-8.27,-4.84
51.826,88.95,71.68,1.63,-8.27,-4.84
51.826,88.65,71.68,1.63,-8.27,-4.84
51.826,88.65,71.82,1.63,-8.27,-4.84
51.826,89.1,71.82,1.63,-8.27,-4.84
51.826,89.1,71.82,1.63,-8.27,-4.84
51.873,89.1,71.82,1.59,-8.34,-4.92
51.873,88.95,71.68,1.59,-8.34,-4.92
51.873,88.8,71.68,1.59,-8.34,-4.92
51.873,88.95,71.68,1.59,-8.34,-4.92
51.873,88.95,71.68,1.59,-8.34,-4.92
51.873,88.65,71.82,1.59,-8.34,-4.92
51.873,88.65,71.68,1.6,-8.2,-4.87
51.873,88.65,71.68,1.6,-8.2,-4.87
51.873,88.8,71.53,1.6,-8.2,-4.87
51.873,88.65,71.39,1.6,-8.2,-4.87
51.873,88.65,71.53,1.6,-8.2,-4.87
51.873,88.8,71.53,1.6,-8.2,-4.87
51.873,88.65,71.53,1.7,-8.08,-4.86
51.873,88.65,71.53,1.7,-8.08,-4.86
51.873,88.5,71.53,1.7,-8.08,-4.86
51.92,88.8,71.53,1.7,-8.08,-4.86
51.92,88.65,71.53,1.7,-8.08,-4.86
51.92,88.8,71.68,1.7,-8.08,-4.86
51.92,89.1,71.53,1.7,-8.08,-4.86
51.92,88.95,71.68,1.74,-8.22,-4.98
51.92,88.95,71.68,1.74,-8.22,-4.98
51.92,88.95,71.68,1.74,-8.22,-4.98
51.92,88.95,71.68,1.74,-8.22,-4.98
51.92,88.65,71.68,1.74,-8.22,-4.98
51.92,88.8,71.53,1.74,-8.22,-4.98
51.92,88.95,71.68,1.64,-8.22,-5.07
51.92,88.65,71.68,1.64,-8.22,-5.07
51.92,88.8,71.96,1.64,-8.22,-5.07
51.92,88.8,71.96,1.64,-8.22,-5.07
51.967,88.65,71.82,1.64,-8.22,-5.07
51.967,88.8,71.82,1.64,-8.22,-5.07
51.967,88.95,71.68,1.57,-8.16,-5.1
51.967,88.95,71.68,1.57,-8.16,-5.1
51.967,88.8,71.82,1.57,-8.16,-5.1
51.967,88.95,71.82,1.57,-8.16,-5.1
51.967,88.8,71.68,1.57,-8.16,-5.1
51.967,88.8,71.68,1.57,-8.16,-5.1
51.967,88.8,71.53,1.66,-8.21,-5.04
51.967,88.8,71.68,1.66,-8.21,-5.04
51.967,88.65,71.39,1.66,-8.21,-5.04
51.967,88.65,71.53,1.66,-8.21,-5.04
51.967,88.95,71.39,1.66,-8.21,-5.04
51.967,88.8,71.53,1.66,-8.21,-5.04
51.967,88.65,71.53,1.66,-8.21,-5.04
52.013,88.8,71.68,1.77,-8.2,-5
52.013,88.8,71.68,1.77,-8.2,-5
52.013,88.65,71.68,1.77,-8.2,-5
52.013,88.95,71.82,1.77,-8.2,-5
52.013,88.8,71.96,1.77,-8.2,-5
52.013,88.65,71.96,1.77,-8.2,-5
52.013,88.8,71.96,1.53,-8.19,-5.01
52.013,88.8,72.11,1.53,-8.19,-5.01
52.013,88.65,71.96,1.53,-8.19,-5.01
52.013,88.8,72.11,1.53,-8.19,-5.01
52.013,88.8,72.11,1.53,-8.19,-5.01
52.013,88.8,72.25,1.53,-8.19,-5.01
52.013,88.65,72.11,1.4,-8.19,-4.96
52.013,88.8,72.11,1.4,-8.19,-4.96
52.06,88.65,72.25,1.4,-8.19,-4.96
52.06,88.65,71.96,1.4,-8.19,-4.96
