time,X1,Y1,X2,Y2,Z2
26.485,90.31,72.53,1.57,-9.09,-2.96
26.485,90.46,71.53,1.57,-9.09,-2.96
26.485,90.46,71.39,1.57,-9.09,-2.96
26.485,90.16,71.39,1.58,-9.11,-3
26.485,90.46,71.53,1.58,-9.11,-3
26.485,90.46,71.68,1.58,-9.11,-3
26.485,90.46,71.53,1.58,-9.11,-3
26.485,90.46,71.25,1.58,-9.11,-3
26.485,90.61,71.53,1.58,-9.11,-3
26.485,90.31,71.25,1.61,-9.11,-2.96
26.485,90.46,71.39,1.61,-9.11,-2.96
26.485,90.46,71.39,1.61,-9.11,-2.96
26.485,90.46,71.53,1.61,-9.11,-2.96
26.485,90.61,71.68,1.61,-9.11,-2.96
26.532,90.76,71.68,1.61,-9.11,-2.96
26.532,90.46,71.82,1.47,-9.1,-3.02
26.532,90.31,71.82,1.47,-9.1,-3.02
26.532,90.31,72.11,1.47,-9.1,-3.02
26.532,90.31,71.96,1.47,-9.1,-3.02
26.532,90.46,71.68,1.47,-9.1,-3.02
26.532,90.46,71.82,1.47,-9.1,-3.02
26.532,90.61,71.68,1.43,-9.08,-2.86
26.532,90.46,71.53,1.43,-9.08,-2.86
26.532,90.76,71.39,1.43,-9.08,-2.86
26.532,90.61,71.53,1.43,-9.08,-2.86
26.532,90.91,71.53,1.43,-9.08,-2.86
26.532,90.91,71.53,1.43,-9.08,-2.86
26.532,90.76,71.68,1.6,-9.21,-2.77
26.578,90.61,71.53,1.6,-9.21,-2.77
26.578,90.31,71.39,1.6,-9.21,-2.77
26.578,90.46,71.53,1.6,-9.21,-2.77
26.578,90.46,71.25,1.6,-9.21,-2.77
26.578,90.46,71.39,1.6,-9.21,-2.77
26.578,90.31,71.68,1.51,-9.04,-2.84
26.578,90.16,71.96,1.51,-9.04,-2.84
26.578,90.31,72.25,1.51,-9.04,-2.84
26.578,90.46,71.82,1.51,-9.04,-2.84
26.578,90.61,71.96,1.51,-9.04,-2.84
26.578,90.61,72.11,1.51,-9.04,-2.84
26.578,90.61,72.11,1.51,-9.04,-2.84
26.578,90.61,72.11,1.25,-9.17,-2.91
26.578,91.06,72.11,1.25,-9.17,-2.91
26.625,90.91,72.11,1.25,-9.17,-2.91
26.625,91.06,71.96,1.25,-9.17,-2.91
26.625,90.91,71.96,1.25,-9.17,-2.91
26.625,90.61,71.82,1.25,-9.17,-2.91
26.625,90.61,71.68,1.36,-9.24,-2.87
26.625,90.46,71.68,1.36,-9.24,-2.87
26.625,90.46,71.39,1.36,-9.24,-2.87
26.625,90.46,71.39,1.36,-9.24,-2.87
26.625,90.46,71.25,1.36,-9.24,-2.87
26.625,90.46,71.53,1.36,-9.24,-2.87
26.625,90.31,71.25,1.66,-9.08,-2.9
26.625,90.46,71.1,1.66,-9.08,-2.9
26.625,90.46,71.25,1.66,-9.08,-2.9
26.625,90.46,71.39,1.66,-9.08,-2.9
26.671,90.61,71.39,1.66,-9.08,-2.9
26.671,90.61,71.25,1.66,-9.08,-2.9
26.671,90.46,71.39,1.68,-9.1,-2.83
26.671,90.61,71.68,1.68,-9.1,-2.83
26.671,90.61,71.39,1.68,-9.1,-2.83
26.671,90.46,71.53,1.68,-9.1,-2.83
26.671,90.61,71.68,1.68,-9.1,-2.83
26.671,90.31,71.68,1.68,-9.1,-2.83
26.671,90.46,71.82,1.48,-9.1,-2.88
26.671,90.46,71.82,1.48,-9.1,-2.88
26.671,90.46,71.82,1.48,-9.1,-2.88
26.671,90.46,71.82,1.48,-9.1,-2.88
26.671,90.46,71.68,1.48,-9.1,-2.88
26.671,90.46,71.68,1.48,-9.1,-2.88
26.718,90.46,71.68,1.45,-9.08,-2.82
26.718,90.46,71.39,1.45,-9.08,-2.82
26.718,90.31,71.53,1.45,-9.08,-2.82
26.718,90.46,70.67,1.45,-9.08,-2.82
26.718,90.76,71.39,1.45,-9.08,-2.82
26.718,90.46,71.39,1.45,-9.08,-2.82
26.718,90.46,71.25,1.64,-9.13,-2.78
26.718,90.76,71.25,1.64,-9.13,-2.78
26.718,90.76,71.39,1.64,-9.13,-2.78
26.718,90.61,71.39,1.64,-9.13,-2.78
26.718,90.76,71.25,1.64,-9.13,-2.78
26.718,90.76,71.39,1.64,-9.13,-2.78
26.718,90.61,71.53,1.66,-9.17,-2.84
26.718,90.76,71.39,1.66,-9.17,-2.84
26.765,90.46,71.39,1.66,-9.17,-2.84
26.765,90.46,71.53,1.66,-9.17,-2.84
26.765,90.76,71.53,1.66,-9.17,-2.84
26.765,91.06,71.53,1.66,-9.17,-2.84
26.765,90.91,71.53,1.59,-9.25,-2.96
26.765,90.61,71.39,1.59,-9.25,-2.96
26.765,90.61,71.82,1.59,-9.25,-2.96
26.765,90.61,71.68,1.59,-9.25,-2.96
26.765,90.76,71.68,1.59,-9.25,-2.96
26.765,90.46,71.39,1.59,-9.25,-2.96
26.765,90.31,71.68,1.49,-9.14,-2.93
26.765,90.61,71.68,1.49,-9.14,-2.93
26.765,90.61,71.82,1.49,-9.14,-2.93
26.765,90.61,72.25,1.49,-9.14,-2.93
26.765,90.76,71.68,1.49,-9.14,-2.93
26.812,90.76,71.68,1.49,-9.14,-2.93
26.812,90.61,71.53,1.44,-9.22,-2.69
26.812,90.61,71.68,1.44,-9.22,-2.69
26.812,90.76,71.53,1.44,-9.22,-2.69
26.812,90.61,71.53,1.44,-9.22,-2.69
26.812,90.76,71.39,1.44,-9.22,-2.69
26.812,90.61,71.68,1.44,-9.22,-2.69
26.812,90.61,71.53,1.54,-9.17,-2.69
26.812,90.61,71.53,1.54,-9.17,-2.69
26.812,90.46,71.68,1.54,-9.17,-2.69
26.812,90.46,71.82,1.54,-9.17,-2.69
26.812,90.61,71.82,1.54,-9.17,-2.69
26.812,90.46,71.82,1.54,-9.17,-2.69
26.812,90.46,71.82,1.37,-9.12,-2.74
26.858,90.46,71.68,1.37,-9.12,-2.74
26.858,90.46,71.68,1.37,-9.12,-2.74
26.858,90.31,71.82,1.37,-9.12,-2.74
26.858,90.61,71.82,1.37,-9.12,-2.74
26.858,90.61,71.82,1.37,-9.12,-2.74
26.858,90.76,71.53,1.41,-9.14,-2.76
26.858,90.31,71.53,1.41,-9.14,-2.76
26.858,90.46,71.68,1.41,-9.14,-2.76
26.858,90.46,71.53,1.41,-9.14,-2.76
26.858,90.31,71.53,1.41,-9.14,-2.76
26.858,90.31,71.68,1.41,-9.14,-2.76
26.858,90.46,71.1,1.5,-9.04,-2.8
26.858,90.31,71.53,1.5,-9.04,-2.8
26.858,90.61,71.39,1.5,-9.04,-2.8
26.904,90.61,71.39,1.5,-9.04,-2.8
26.904,90.76,71.25,1.5,-9.04,-2.8
26.904,90.31,71.25,1.5,-9.04,-2.8
26.904,90.61,71.25,1.65,-9.13,-2.73
26.904,90.61,71.25,1.65,-9.13,-2.73
26.904,90.61,71.25,1.65,-9.13,-2.73
26.904,90.61,71.25,1.65,-9.13,-2.73
26.904,90.76,71.39,1.65,-9.13,-2.73
26.904,90.91,71.25,1.65,-9.13,-2.73
26.904,90.76,71.39,1.63,-9.22,-2.73
26.904,90.76,71.68,1.63,-9.22,-2.73
26.904,90.76,71.68,1.63,-9.22,-2.73
26.904,90.76,72.82,1.63,-9.22,-2.73
26.904,90.91,71.68,1.63,-9.22,-2.73
26.951,90.61,71.68,1.63,-9.22,-2.73
26.951,90.61,71.82,1.46,-9.24,-2.71
26.951,90.46,71.68,1.46,-9.24,-2.71
26.951,90.61,71.82,1.46,-9.24,-2.71
26.951,90.46,71.82,1.46,-9.24,-2.71
26.951,90.46,71.68,1.46,-9.24,-2.71
26.951,89.86,71.82,1.46,-9.24,-2.71
26.951,90.31,71.82,1.46,-9.04,-2.82
26.951,90.16,71.68,1.46,-9.04,-2.82
26.951,90.31,71.96,1.46,-9.04,-2.82
26.951,90.31,71.53,1.46,-9.04,-2.82
26.951,90.16,71.68,1.46,-9.04,-2.82
26.951,90.61,71.68,1.46,-9.04,-2.82
26.951,90.46,71.82,1.47,-9.07,-2.85
26.998,90.46,71.68,1.47,-9.07,-2.85
26.998,90.46,71.68,1.47,-9.07,-2.85
26.998,90.61,71.68,1.47,-9.07,-2.85
26.998,90.61,71.53,1.47,-9.07,-2.85
26.998,90.46,71.39,1.47,-9.07,-2.85
26.998,90.61,71.68,1.54,-9.18,-2.89
26.998,90.61,71.53,1.54,-9.18,-2.89
26.998,90.61,71.68,1.54,-9.18,-2.89
26.998,90.61,71.53,1.54,-9.18,-2.89
26.998,90.61,71.53,1.54,-9.18,-2.89
26.998,90.61,71.39,1.54,-9.18,-2.89
26.998,90.61,71.39,1.57,-9.16,-2.81
26.998,90.61,71.39,1.57,-9.16,-2.81
26.998,90.91,71.39,1.57,-9.16,-2.81
27.046,90.76,71.39,1.57,-9.16,-2.81
27.046,90.76,71.39,1.57,-9.16,-2.81
27.046,90.76,71.25,1.57,-9.16,-2.81
27.046,90.76,71.39,1.57,-9.16,-2.81
27.046,90.91,71.39,1.62,-9.25,-2.75
27.046,90.76,71.53,1.62,-9.25,-2.75
27.046,90.61,71.39,1.62,-9.25,-2.75
27.046,90.46,71.53,1.62,-9.25,-2.75
27.046,90.46,71.53,1.62,-9.25,-2.75
27.046,90.76,71.82,1.62,-9.25,-2.75
27.046,90.61,71.68,1.47,-9.21,-2.76
27.046,90.76,71.68,1.47,-9.21,-2.76
27.046,90.61,71.68,1.47,-9.21,-2.76
27.046,90.61,71.68,1.47,-9.21,-2.76
27.046,90.76,71.82,1.47,-9.21,-2.76
27.093,90.76,71.68,1.47,-9.21,-2.76
27.093,90.61,72.11,1.42,-9.17,-2.84
27.093,90.76,71.82,1.42,-9.17,-2.84
27.093,90.76,71.68,1.42,-9.17,-2.84
27.093,90.46,71.68,1.42,-9.17,-2.84
27.093,90.76,71.53,1.42,-9.17,-2.84
27.093,90.76,71.68,1.42,-9.17,-2.84
27.093,90.91,71.53,1.44,-9.23,-2.89
27.093,90.91,71.68,1.44,-9.23,-2.89
27.093,91.06,71.82,1.44,-9.23,-2.89
27.093,91.06,71.53,1.44,-9.23,-2.89
27.093,90.91,71.53,1.44,-9.23,-2.89
27.093,91.06,71.53,1.44,-9.23,-2.89
27.093,90.61,71.53,1.47,-9.4,-2.94
27.14,90.61,71.53,1.47,-9.4,-2.94
27.14,90.61,71.53,1.47,-9.4,-2.94
27.14,90.61,71.53,1.47,-9.4,-2.94
27.14,90.31,71.39,1.47,-9.4,-2.94
27.14,90.31,71.25,1.47,-9.4,-2.94
27.14,90.46,71.39,1.61,-9.08,-2.8
27.14,90.61,71.53,1.61,-9.08,-2.8
27.14,90.91,71.39,1.61,-9.08,-2.8
27.14,90.61,71.68,1.61,-9.08,-2.8
27.14,90.91,71.39,1.61,-9.08,-2.8
27.14,90.76,71.53,1.61,-9.08,-2.8
27.14,90.61,71.96,1.53,-9.29,-2.7
27.14,90.61,71.39,1.53,-9.29,-2.7
27.14,90.61,71.39,1.53,-9.29,-2.7
27.187,90.31,71.25,1.53,-9.29,-2.7
27.187,90.31,71.25,1.53,-9.29,-2.7
27.187,90.16,71.53,1.53,-9.29,-2.7
27.187,90.31,71.53,1.54,-8.96,-2.71
27.187,90.01,71.53,1.54,-8.96,-2.71
27.187,90.16,71.39,1.54,-8.96,-2.71
27.187,90.31,71.96,1.54,-8.96,-2.71
27.187,90.31,71.53,1.54,-8.96,-2.71
27.187,90.61,71.53,1.54,-8.96,-2.71
27.187,90.61,71.53,1.54,-9.04,-2.75
27.187,90.61,71.53,1.54,-9.04,-2.75
27.187,90.46,72.25,1.54,-9.04,-2.75
27.187,90.61,71.68,1.54,-9.04,-2.75
27.187,90.46,71.68,1.54,-9.04,-2.75
27.233,90.46,71.68,1.54,-9.04,-2.75
27.233,90.61,70.67,1.47,-9.09,-2.76
27.233,90.61,71.68,1.47,-9.09,-2.76
27.233,90.46,71.68,1.47,-9.09,-2.76
27.233,90.61,71.82,1.47,-9.09,-2.76
27.233,90.61,71.53,1.47,-9.09,-2.76
27.233,90.46,71.68,1.47,-9.09,-2.76
27.233,90.61,71.39,1.45,-9.14,-2.76
27.233,90.31,71.39,1.45,-9.14,-2.76
27.233,90.61,71.39,1.45,-9.14,-2.76
27.233,90.76,71.39,1.45,-9.14,-2.76
27.233,90.91,71.53,1.45,-9.14,-2.76
27.233,90.61,71.53,1.45,-9.14,-2.76
27.233,90.76,71.53,1.56,-9.22,-2.69
27.28,90.76,71.68,1.56,-9.22,-2.69
27.28,90.76,71.53,1.56,-9.22,-2.69
27.28,90.61,71.82,1.56,-9.22,-2.69
27.28,90.46,71.53,1.56,-9.22,-2.69
27.28,90.61,71.53,1.56,-9.22,-2.69
27.28,90.61,71.53,1.46,-9.18,-2.62
27.28,90.46,71.68,1.46,-9.18,-2.62
27.28,90.61,71.39,1.46,-9.18,-2.62
27.28,90.76,71.39,1.46,-9.18,-2.62
27.28,90.61,71.39,1.46,-9.18,-2.62
27.28,90.61,71.53,1.46,-9.18,-2.62
27.28,90.61,71.68,1.48,-9.21,-2.62
27.28,90.46,71.82,1.48,-9.21,-2.62
27.28,90.61,71.82,1.48,-9.21,-2.62
27.327,90.76,71.82,1.48,-9.21,-2.62
27.327,90.61,71.82,1.48,-9.21,-2.62
