time,X1,Y1,X2,Y2,Z2
16.846,90.31,71.96,1.21,-9.07,-3.1
16.846,90.46,72.39,1.21,-9.07,-3.1
16.846,90.01,72.11,1.21,-9.07,-3.1
16.846,90.61,72.25,1.21,-9.07,-3.1
16.846,90.16,72.25,1.16,-9.13,-3.14
16.846,90.31,72.11,1.16,-9.13,-3.14
16.846,90.16,72.25,1.16,-9.13,-3.14
16.846,90.31,72.25,1.16,-9.13,-3.14
16.846,90.46,72.11,1.16,-9.13,-3.14
16.846,90.46,72.11,1.16,-9.13,-3.14
16.846,90.61,71.96,1.21,-9.13,-3.19
16.846,90.76,71.96,1.21,-9.13,-3.19
16.846,90.76,71.68,1.21,-9.13,-3.19
16.846,90.46,71.68,1.21,-9.13,-3.19
16.892,90.46,71.82,1.21,-9.13,-3.19
16.892,90.31,71.82,1.21,-9.13,-3.19
16.892,90.16,71.96,1.31,-9.05,-3.14
16.892,90.16,72.11,1.31,-9.05,-3.14
16.892,90.31,72.11,1.31,-9.05,-3.14
16.892,90.16,71.96,1.31,-9.05,-3.14
16.892,90.46,71.96,1.31,-9.05,-3.14
16.892,90.16,71.82,1.31,-9.05,-3.14
16.892,90.46,71.96,1.3,-9.05,-3.11
16.892,90.46,71.96,1.3,-9.05,-3.11
16.892,90.46,71.82,1.3,-9.05,-3.11
16.892,88.5,71.82,1.3,-9.05,-3.11
16.892,90.31,71.82,1.3,-9.05,-3.11
16.892,90.31,72.11,1.34,-9.08,-3.05
16.939,90.31,71.68,1.34,-9.08,-3.05
16.939,90.46,71.68,1.34,-9.08,-3.05
16.939,90.46,71.25,1.34,-9.08,-3.05
16.939,90.61,71.96,1.34,-9.08,-3.05
16.939,90.61,71.96,1.34,-9.08,-3.05
16.939,90.46,71.82,1.31,-9.11,-3.14
16.939,90.31,71.82,1.31,-9.11,-3.14
16.939,90.46,73.11,1.31,-9.11,-3.14
16.939,90.31,72.11,1.31,-9.11,-3.14
16.939,90.46,71.82,1.31,-9.11,-3.14
16.939,90.31,71.96,1.31,-9.11,-3.14
16.939,90.46,71.82,1.31,-9.11,-3.14
16.939,90.31,71.82,1.33,-9.05,-3.17
16.939,90.31,70.82,1.33,-9.05,-3.17
16.986,90.46,71.68,1.33,-9.05,-3.17
16.986,90.46,71.68,1.33,-9.05,-3.17
16.986,90.46,71.82,1.33,-9.05,-3.17
16.986,90.31,71.82,1.33,-9.05,-3.17
16.986,90.31,71.82,1.39,-8.99,-3.22
16.986,90.31,71.82,1.39,-8.99,-3.22
16.986,90.16,71.96,1.39,-8.99,-3.22
16.986,90.46,71.96,1.39,-8.99,-3.22
16.986,90.61,71.96,1.39,-8.99,-3.22
16.986,90.61,71.96,1.39,-8.99,-3.22
16.986,90.61,71.96,1.33,-9.15,-3.06
16.986,90.46,71.96,1.33,-9.15,-3.06
16.986,90.46,71.96,1.33,-9.15,-3.06
16.986,90.61,71.96,1.33,-9.15,-3.06
17.033,90.76,71.82,1.33,-9.15,-3.06
17.033,90.61,71.53,1.33,-9.15,-3.06
17.033,90.46,71.82,1.39,-9.19,-3.06
17.033,90.46,71.96,1.39,-9.19,-3.06
17.033,90.31,71.82,1.39,-9.19,-3.06
17.033,90.01,71.68,1.39,-9.19,-3.06
17.033,90.16,71.82,1.39,-9.19,-3.06
17.033,90.31,71.82,1.39,-9.19,-3.06
17.033,90.46,71.96,1.35,-9.02,-3.08
17.033,90.46,71.96,1.35,-9.02,-3.08
17.033,90.46,72.25,1.35,-9.02,-3.08
17.033,90.31,72.39,1.35,-9.02,-3.08
17.033,90.46,72.53,1.35,-9.02,-3.08
17.033,90.46,72.39,1.35,-9.02,-3.08
17.08,90.46,72.39,1.04,-9.11,-3.18
17.08,90.46,72.39,1.04,-9.11,-3.18
17.08,90.46,72.39,1.04,-9.11,-3.18
17.08,90.31,72.25,1.04,-9.11,-3.18
17.08,90.46,72.11,1.04,-9.11,-3.18
17.08,90.31,71.96,1.04,-9.11,-3.18
17.08,90.46,71.68,1.26,-9.04,-3.14
17.08,90.31,71.68,1.26,-9.04,-3.14
17.08,90.31,71.68,1.26,-9.04,-3.14
17.08,90.31,71.68,1.26,-9.04,-3.14
17.08,90.46,71.68,1.26,-9.04,-3.14
17.08,90.46,71.68,1.26,-9.04,-3.14
17.08,90.31,71.68,1.42,-9.04,-3.21
17.08,90.46,71.82,1.42,-9.04,-3.21
17.08,90.76,71.68,1.42,-9.04,-3.21
17.126,90.46,71.53,1.42,-9.04,-3.21
17.126,90.46,71.53,1.42,-9.04,-3.21
17.126,90.46,71.53,1.42,-9.04,-3.21
17.126,90.46,71.68,1.48,-9.1,-3.19
17.126,90.31,71.82,1.48,-9.1,-3.19
17.126,90.46,72.11,1.48,-9.1,-3.19
17.126,90.31,72.25,1.48,-9.1,-3.19
17.126,90.46,71.96,1.48,-9.1,-3.19
17.126,90.46,72.96,1.48,-9.1,-3.19
17.126,90.46,71.82,1.33,-9.09,-3.17
17.126,90.46,71.68,1.33,-9.09,-3.17
17.126,90.31,71.82,1.33,-9.09,-3.17
17.126,90.46,71.82,1.33,-9.09,-3.17
17.126,90.46,72.25,1.33,-9.09,-3.17
17.173,90.31,71.68,1.33,-9.09,-3.17
17.173,90.46,71.82,1.41,-9.11,-3.07
17.173,90.46,71.68,1.41,-9.11,-3.07
17.173,90.31,71.82,1.41,-9.11,-3.07
17.173,90.46,71.68,1.41,-9.11,-3.07
17.173,90.46,71.39,1.41,-9.11,-3.07
17.173,90.46,71.68,1.41,-9.11,-3.07
17.173,90.46,71.68,1.47,-9.05,-3.08
17.173,90.46,71.68,1.47,-9.05,-3.08
17.173,90.61,71.53,1.47,-9.05,-3.08
17.173,90.31,71.68,1.47,-9.05,-3.08
17.173,90.61,71.68,1.47,-9.05,-3.08
17.173,90.31,71.68,1.47,-9.05,-3.08
17.173,90.46,71.53,1.5,-9.09,-3.07
17.22,90.46,71.53,1.5,-9.09,-3.07
17.22,90.46,71.68,1.5,-9.09,-3.07
17.22,90.31,71.68,1.5,-9.09,-3.07
17.22,90.46,71.82,1.5,-9.09,-3.07
17.22,90.31,71.68,1.5,-9.09,-3.07
17.22,90.46,71.68,1.48,-9.09,-3.05
17.22,90.61,71.53,1.48,-9.09,-3.05
17.22,90.61,71.53,1.48,-9.09,-3.05
17.22,90.31,71.82,1.48,-9.09,-3.05
17.22,90.61,71.39,1.48,-9.09,-3.05
17.22,90.61,71.82,1.48,-9.09,-3.05
17.22,90.61,71.68,1.47,-9.15,-2.96
17.22,90.46,71.68,1.47,-9.15,-2.96
17.22,90.46,71.82,1.47,-9.15,-2.96
17.267,90.46,71.53,1.47,-9.15,-2.96
17.267,90.46,71.53,1.47,-9.15,-2.96
17.267,90.46,71.53,1.47,-9.15,-2.96
17.267,90.46,71.39,1.47,-9.15,-2.96
17.267,90.46,71.53,1.61,-9.13,-2.91
17.267,90.46,71.39,1.61,-9.13,-2.91
17.267,90.61,71.25,1.61,-9.13,-2.91
17.267,90.46,71.53,1.61,-9.13,-2.91
17.267,90.76,71.53,1.61,-9.13,-2.91
17.267,90.46,71.68,1.61,-9.13,-2.91
17.267,90.61,71.68,1.52,-9.14,-2.89
17.267,90.61,71.82,1.52,-9.14,-2.89
17.267,90.46,71.68,1.52,-9.14,-2.89
17.267,90.46,71.82,1.52,-9.14,-2.89
17.313,90.61,71.96,1.52,-9.14,-2.89
17.313,90.46,71.96,1.52,-9.14,-2.89
17.313,90.46,72.39,1.33,-9.09,-3.02
17.313,90.46,71.96,1.33,-9.09,-3.02
17.313,90.46,72.11,1.33,-9.09,-3.02
17.313,90.31,71.82,1.33,-9.09,-3.02
17.313,90.31,71.82,1.33,-9.09,-3.02
17.313,90.46,71.82,1.33,-9.09,-3.02
17.313,90.61,71.82,1.36,-9.05,-2.97
17.313,90.46,71.68,1.36,-9.05,-2.97
17.313,90.76,71.68,1.36,-9.05,-2.97
17.313,90.61,71.53,1.36,-9.05,-2.97
17.313,90.61,71.53,1.36,-9.05,-2.97
17.313,90.46,71.53,1.36,-9.05,-2.97
17.313,90.31,71.53,1.56,-9.13,-2.84
17.359,90.16,71.39,1.56,-9.13,-2.84
17.359,90.46,71.25,1.56,-9.13,-2.84
17.359,90.46,71.39,1.56,-9.13,-2.84
17.359,90.61,71.25,1.56,-9.13,-2.84
17.359,90.46,71.25,1.56,-9.13,-2.84
17.359,90.76,71.53,1.65,-9.06,-2.77
17.359,90.61,71.53,1.65,-9.06,-2.77
17.359,90.61,71.53,1.65,-9.06,-2.77
17.359,90.61,71.82,1.65,-9.06,-2.77
17.359,90.61,71.68,1.65,-9.06,-2.77
17.359,90.76,71.68,1.65,-9.06,-2.77
17.359,90.76,71.82,1.45,-9.16,-2.83
17.359,90.61,71.82,1.45,-9.16,-2.83
17.359,89.71,71.96,1.45,-9.16,-2.83
17.406,90.61,71.82,1.45,-9.16,-2.83
17.406,90.61,71.82,1.45,-9.16,-2.83
17.406,90.76,71.82,1.45,-9.16,-2.83
17.406,90.61,71.68,1.37,-9.17,-2.91
17.406,90.61,70.25,1.37,-9.17,-2.91
17.406,90.46,71.82,1.37,-9.17,-2.91
17.406,90.61,71.68,1.37,-9.17,-2.91
17.406,90.46,71.68,1.37,-9.17,-2.91
17.406,90.61,71.68,1.37,-9.17,-2.91
17.406,90.61,71.53,1.46,-9.13,-2.87
17.406,90.61,71.25,1.46,-9.13,-2.87
17.406,90.46,71.53,1.46,-9.13,-2.87
